Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
12:55:26,3/11/2025,17.0,A,top,-9.9e-05,0.7,#21
12:57:29,3/11/2025,18.0,A,bottom,-0.000808,0.9,#22
12:57:58,3/11/2025,18.0,A,top,0.004363,0.4,#22
12:59:37,3/11/2025,19.0,A,bottom,0.000367,0.5,#23
13:00:19,3/11/2025,19.0,A,top,0.002292,0.6,#23
13:02:50,3/11/2025,20.0,A,bottom,-0.001356,0.6,#24
13:03:13,3/11/2025,20.0,A,top,0.003847,0.5,#24
13:04:58,3/11/2025,21.0,A,bottom,0.003422,0.5,#25
13:06:45,3/11/2025,21.0,A,top,-0.001414,0.4,#25
13:08:50,3/11/2025,22.0,A,bottom,0.001955,0.5,#26
13:09:21,3/11/2025,22.0,A,top,0.00712,0.5,#26
13:11:19,3/11/2025,23.0,A,bottom,0.001244,0.4,#27
13:12:00,3/11/2025,23.0,A,top,0.001658,0.4,#27
13:13:56,3/11/2025,24.0,A,bottom,-0.003437,0.6,#28
13:14:17,3/11/2025,24.0,A,top,-0.001405,0.2,#28
13:16:08,3/11/2025,25.0,A,bottom,0.001959,0.3,#29
13:16:52,3/11/2025,25.0,A,top,0.010043,0.3,#29
13:18:44,3/11/2025,26.0,A,bottom,-0.001429,0.5,#30
13:19:07,3/11/2025,26.0,A,top,-0.003101,0.3,#30
13:22:42,3/11/2025,27.0,A,bottom,-0.001956,0.5,#31
13:23:11,3/11/2025,27.0,A,top,0.007357,0.9,#31
13:25:35,3/11/2025,28.0,A,bottom,0.002208,0.8,#32
13:25:56,3/11/2025,28.0,A,top,-0.002599,0.6,#32
13:27:57,3/11/2025,29.0,A,bottom,-0.003805,0.8,#33
13:28:42,3/11/2025,29.0,A,top,0.011143,0.4,#33
13:30:29,3/11/2025,30.0,A,bottom,0.005456,0.8,#34
13:30:58,3/11/2025,30.0,A,top,0.010474,0.5,#34
10:36:10,3/18/2025,1.0,A,bottom,-0.000631,0.2,#1
10:37:52,3/18/2025,1.0,A,top,0.102524,-0.2,#1
10:46:45,3/18/2025,2.0,A,bottom,0.007072,0.2,#2
10:47:31,3/18/2025,2.0,A,top,-0.001215,0.1,#2
10:54:59,3/18/2025,3.0,A,bottom,0.006279,0.4,#3
10:55:30,3/18/2025,3.0,A,top,0.022131,0.4,#3
10:59:37,3/18/2025,4.0,A,bottom,-0.007852,0.6,#4
11:00:30,3/18/2025,4.0,A,top,-0.002168,0.5,#4
11:03:58,3/18/2025,5.0,A,bottom,0.049525,0.3,#5
11:04:31,3/18/2025,5.0,A,top,0.003412,0.3,#5
11:08:00,3/18/2025,6.0,A,bottom,0.077222,0.3,#6
11:08:47,3/18/2025,6.0,A,top,0.074298,0.5,#6
11:10:49,3/18/2025,7.0,A,bottom,0.127239,0.2,#7
11:11:56,3/18/2025,7.0,A,top,0.075119,0.2,#7
11:15:33,3/18/2025,8.0,A,bottom,0.020148,0.4,#8
11:16:13,3/18/2025,8.0,A,top,-0.008004,0.6,#8
11:20:09,3/18/2025,9.0,A,bottom,0.015817,0.4,#9
11:20:38,3/18/2025,9.0,A,top,0.014566,0.3,#9
11:22:45,3/18/2025,10.0,A,bottom,0.009474,0.7,#10
11:23:17,3/18/2025,10.0,A,top,0.020747,0.6,#10
11:25:13,3/18/2025,11.0,A,bottom,0.083899,0.4,#11
11:25:57,3/18/2025,11.0,A,top,0.001808,0.2,#11
11:32:27,3/18/2025,12.0,A,bottom,-0.002097,0.4,#12
11:32:57,3/18/2025,12.0,A,top,-0.003103,0.2,#12
11:38:24,3/18/2025,13.0,A,bottom,-0.004915,0.3,#13
11:39:01,3/18/2025,13.0,A,top,0.005953,0.3,#13
11:41:10,3/18/2025,14.0,A,bottom,-0.011253,0.2,#14
11:41:43,3/18/2025,14.0,A,top,0.00469,0.4,#14
11:43:47,3/18/2025,15.0,A,bottom,0.010264,0.2,#15
11:46:13,3/18/2025,15.0,A,top,-0.000139,0.2,#15
11:49:25,3/18/2025,16.0,A,bottom,0.010048,0.5,#16
11:49:57,3/18/2025,16.0,A,top,0.023772,0.4,#16
11:59:55,3/18/2025,17.0,A,bottom,0.009356,0.8,#17
12:00:30,3/18/2025,17.0,A,top,0.02386,0.5,#17
12:05:24,3/18/2025,18.0,A,bottom,0.008838,0.7,#18
12:06:11,3/18/2025,18.0,A,top,0.000352,0.6,#18
12:13:40,3/18/2025,19.0,A,bottom,0.014367,0.8,#19
12:14:22,3/18/2025,19.0,A,top,0.001628,0.4,#19
12:22:03,3/18/2025,20.0,A,bottom,0.011563,0.7,#20
12:22:23,3/18/2025,20.0,A,top,0.01136,0.6,#20
12:37:26,3/18/2025,21.0,A,bottom,0.000726,0.5,#21
12:38:00,3/18/2025,21.0,A,top,-0.006897,0.3,#21
12:43:23,3/18/2025,22.0,A,bottom,0.002597,0.4,#22
12:43:41,3/18/2025,22.0,A,top,-0.004476,0.7,#22
12:46:50,3/18/2025,23.0,A,bottom,0.005469,0.5,#23
12:47:18,3/18/2025,23.0,A,top,0.017977,0.1,#23
12:50:38,3/18/2025,24.0,A,bottom,-0.003838,0.6,#24
12:51:16,3/18/2025,24.0,A,top,0.009381,0.3,#24
12:54:27,3/18/2025,25.0,A,bottom,0.0025,0.7,#25
12:55:02,3/18/2025,25.0,A,top,0.002531,0.8,#25
